Stock,MAE,MSE,R2
T,0.008872425819705067,0.00020593451009026583,0.9937110651015714
C,0.0023226723504713134,9.828118159622813e-06,0.9744752127343967
BHP,0.009858121350587232,0.00019371018657801371,0.9684331349705992
GSK,0.005696694763383286,7.085766738080247e-05,0.9669962030506586
GILD,0.008407555784016937,0.00014587542736382283,0.9617472321507187
AAL,0.007667347720772367,0.00011262230894952663,0.9539598910647188
WFC,0.02337704852979914,0.0012798142835356364,0.948174558015605
BIDU,0.011247881487227003,0.00026425462620042475,0.9456683686699305
BIIB,0.011638708810133394,0.0004184832939256475,0.9366790356356524
TSLA,0.009366153584013447,0.0001411464204051263,0.926169334086213
DAL,0.015478289217765695,0.00046444513636195603,0.9208448156830931
INTC,0.030130323555254464,0.001712227893983183,0.9033995754726251
GLD,0.01295571708607656,0.0003323467993252703,0.8986871633932919
MU,0.03740214964003215,0.002764850881110987,0.894731400681949
BABA,0.01106020074102429,0.0002024854239772663,0.8910474719960287
CRM,0.030086364217649084,0.0024649575366620926,0.8862194747902944
AMZN,0.0502718220165544,0.012926984733380066,0.868811538033451
MRK,0.038819610617198706,0.006143246102954874,0.8002811131743194
V,0.023924867245554957,0.0011019767999213739,0.7888493026301595
COP,0.10177153000693198,0.03305011472825808,0.6740873557034774
GE,0.1592121218413769,0.10571056756993014,0.6565948903980244
ABBV,0.028451251953398236,0.0012362014614307763,0.6272043940179668
CVX,0.06113529150836448,0.0147721058455132,0.6192805827337948
PYPL,0.0173789054045064,0.0005430824544442291,0.4667239952000517
TM,0.09047538498665786,0.022340311284051565,0.0854549921992801
CMCSA,0.11083056317185741,0.027799475577785865,-0.013806320863437582
SBUX,0.11874192534509115,0.020807206755225474,-0.08325282009176926
AMD,0.6755960585992875,0.9040582970109313,-0.2508415056558806
AAPL,0.2319071475861102,0.13677659490148336,-0.3160361452374947
XLF,0.16919998298221095,0.04265270707685179,-0.38348210195066335
USO,0.011273805439843656,0.00016858875488304424,-0.385109404235082
TGT,0.5764702210417445,0.7287723774472004,-0.5158520124472576
CAT,0.4708910155684448,0.41103388445118405,-0.7057529864690035
EBAY,0.23542570261956572,0.10331803629782438,-0.9986189530889065
ORCL,0.4039258962083911,0.3094477837197376,-1.0122351480072922
WMT,0.366046147760759,0.21398182175013372,-1.0870151558929733
KO,0.1863407914222596,0.06124144894820442,-1.164630560509619
DIS,0.33682430971124405,0.19650294610783786,-1.3300521291350331
NKE,0.6148764481213141,0.561477825915878,-1.9132250778261426
QCOM,0.47218787622692254,0.3202214362216476,-1.9781789242552357
NVDA,2.0216865301040716,6.153979927789081,-1.9800287951784892
PEP,0.37259442076538657,0.2048262107942075,-2.0947112164404573
AMGN,0.23460770255213265,0.07582491934282475,-2.3733461829818254
MSFT,1.3513330445633758,2.4866311721336443,-2.763713814636996
COST,1.061318184438709,1.5152369921339484,-2.8966372111078535
TSM,0.6581745216276282,0.5502737644537204,-3.039531332197801
CMG,0.29810602429325295,0.1166275730408181,-3.1199062583033133
QQQ,0.4888956908996789,0.2764160347987592,-6.393144637751746
GOOG,0.04226491224986509,0.0019204271215221814,-13.625494124396688
