Stock,MAE,MSE,R2
T,0.008840680712542546,0.00020645700179904773,0.9936951089787242
C,0.0023226723504713134,9.828118159622813e-06,0.9744752127343967
BHP,0.009843040462433197,0.0001930392233610518,0.9685424746273498
GSK,0.005696694763383286,7.085766738080247e-05,0.9669962030506586
GILD,0.008411747941656474,0.00014599688740651176,0.9617153818048454
AAL,0.007557717236706685,0.00011019239569386372,0.9549532419561851
WFC,0.0235908433349037,0.0013042229671658258,0.9471861405290483
BIDU,0.011424240968772453,0.00027110995676087344,0.9442588898728647
BIIB,0.011638708810133394,0.0004184832939256475,0.9366790356356524
TSLA,0.009366153584013447,0.0001411464204051263,0.926169334086213
DAL,0.015544843154319669,0.0004675164964470649,0.9203213651081883
INTC,0.030130323555254464,0.001712227893983183,0.9033995754726251
GLD,0.01295571708607656,0.0003323467993252703,0.8986871633932919
MU,0.03740214964003215,0.002764850881110987,0.894731400681949
BABA,0.01106020074102429,0.0002024854239772663,0.8910474719960287
CRM,0.030086364217649084,0.0024649575366620926,0.8862194747902944
AMZN,0.0502718220165544,0.012926984733380066,0.868811538033451
MRK,0.038819610617198706,0.006143246102954874,0.8002811131743194
V,0.023924867245554957,0.0011019767999213739,0.7888493026301595
COP,0.10092456227798766,0.03254140133786956,0.6791038625329927
GE,0.1592121218413769,0.10571056756993014,0.6565948903980244
ABBV,0.028451251953398236,0.0012362014614307763,0.6272043940179668
CVX,0.06113529150836448,0.0147721058455132,0.6192805827337948
PYPL,0.0173789054045064,0.0005430824544442291,0.4667239952000517
TM,0.09047538498665786,0.022340311284051565,0.0854549921992801
CMCSA,0.11195659548292639,0.028244170739088765,-0.030023704681516605
SBUX,0.12032934377813319,0.02111903821138369,-0.0994872098515518
AMD,0.6747798285912476,0.9022202565661136,-0.2482984204532408
AAPL,0.2319071475861102,0.13677659490148336,-0.3160361452374947
XLF,0.16778739632807788,0.041919633367248445,-0.35970414209410806
USO,0.011273805439843656,0.00016858875488304424,-0.385109404235082
TGT,0.5764702210417445,0.7287723774472004,-0.5158520124472576
CAT,0.47081671710990197,0.41092035476065386,-0.7052818486480101
ORCL,0.39615921607232774,0.3023972861636566,-0.9663881271537358
EBAY,0.23531711750338535,0.10314195225740143,-0.995212724001167
WMT,0.366046147760759,0.21398182175013372,-1.0870151558929733
KO,0.18661339671338376,0.061346744384546945,-1.1683523163351874
DIS,0.33682430971124405,0.19650294610783786,-1.3300521291350331
NKE,0.6149386735881556,0.5615959190876973,-1.9138378036966666
QCOM,0.47061155823719825,0.3184714534126532,-1.9619034307059886
NVDA,2.0207203270877496,6.149236562256826,-1.9777318481559054
PEP,0.37259442076538657,0.2048262107942075,-2.0947112164404573
AMGN,0.23460770255213265,0.07582491934282475,-2.3733461829818254
MSFT,1.3513330445633758,2.4866311721336443,-2.763713814636996
COST,1.061318184438709,1.5152369921339484,-2.8966372111078535
TSM,0.6585053555758895,0.5507790442050009,-3.0432405647992287
CMG,0.29810602429325295,0.1166275730408181,-3.1199062583033133
QQQ,0.4888956908996789,0.2764160347987592,-6.393144637751746
GOOG,0.04226491224986509,0.0019204271215221814,-13.625494124396688
